a,b,c,d,e,f,g,h,x1,x2,y,calls
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137516357,.068581267,  -0.014900009259120,14493.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135313499,.068389499,  -0.014895954763676,16702.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.139463947,.068438633,  -0.014885515438683,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137766225,.067915088,  -0.014897038704577,18992.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136304724,.068305668,  -0.014900602790643,23450.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136712961,.068154595,  -0.014900818226180,31491.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137970430,.068782797,  -0.014897611769412,55339.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.137296477,.069324482,  -0.014894953606803,41991.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.136562693,.067656008,  -0.014897353185446,69209.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.137499429,.069222409,  -0.014895843349354, 3193.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.136996585,.069931323,  -0.014884477593012,*******
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.137691830,.069135481,  -0.014896239241388,94995.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.141274094,.069708933,  -0.014850881352138,*******
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.138474634,.068421117,  -0.014895047305847,62727.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.134462367,.071288886,  -0.014820988695530,*******
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.137213131,.067834222,  -0.014898378901874, 1481.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.136546442,.067266952,  -0.014892197879616,49549.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.134922930,.069286724,  -0.014885227077298,*******
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.135131613,.069201072,  -0.014888383935810,*******
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.137371446,.069507178,  -0.014892287514175,91622.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.137053018,.068914977,  -0.014899268077914,92365.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.140252561,.068137725,  -0.014873187571188,*******
