a,b,c,d,e,f,g,h,x1,x2,y,calls
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135245152,.068285256,  -0.014895562489153,                63.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137573693,.067501860,  -0.014893441170028,               107.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138392950,.068542856,  -0.014895698121287,               109.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138887653,.068468113,  -0.014891652989425,              1042.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138300030,.068893719,  -0.014895257019297,                70.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138077939,.069036012,  -0.014895541023156,                71.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136452504,.067260802,  -0.014892075856520,               311.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136160820,.068187857,  -0.014900062908948,               130.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137659723,.068185506,  -0.014899118563611,               215.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136372465,.067245000,  -0.014891769715745,               130.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135558503,.069126343,  -0.014892627276444,                29.0
 50.00,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,.135868372,.069303169,  -0.014892196223130,                83.0
 50.00,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,.137271161,.069546838,  -0.014891767371759,                51.0
 50.00,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,.138021246,.068448844,  -0.014897992479524,                76.0
 50.00,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,.136691738,.067244746,  -0.014891789349772,               430.0
 50.00,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,.135697376,.067652207,  -0.014895245584416,                93.0
 50.00,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,.137682762,.067597776,  -0.014894196961715,                35.0
 50.00,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,.137897105,.069288908,  -0.014893877526861,               296.0
 50.00,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,.136736895,.068136824,  -0.014900760977006,                26.0
 50.00,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,.134915167,.067806093,  -0.014891518559403,                44.0
 50.00,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,.137495501,.068852503,  -0.014899004513994,               311.0
 50.00,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,  0.50,.135078146,.068354876,  -0.014894229554708,                90.0
